	host_response_rate	host_listings_count	host_verificationCount	host_since_deltaDays	calculated_host_listings_count	latitude	longitude	accommodates	bathrooms	bedrooms	beds	price	weekly_price	security_deposit	cleaning_fee	guests_included	extra_people	minimum_nights	maximum_nights	number_of_reviews	last_review_deltaDays	first_review_deltaDays	review_scores_rating	review_scores_accuracy	review_scores_cleanliness	review_scores_checkin	review_scores_communication	review_scores_location	review_scores_value	reviews_per_month	performance
3094	4.6151204	1.3862944	4	988.0	1.3862944	47.723	-122.30346	0.6931472	0.6931472	0.6931472	0.6931472	3.583519	5.525453	5.3033047	2.3978953	0.6931472	0.0	0.6931472	7.026427	1.0986123	2.5649493574615367	3.367295829986474	4.6151204	2.3978953	2.3978953	2.3978953	2.3978953	2.1972246	2.3978953	1.0986123	5.3033047
3095	4.6151204	0.6931472	4	712.0	0.6931472	47.720493	-122.300026	1.0986123	0.6931472	0.6931472	0.6931472	4.0253515	6.4785094	5.3033047	3.9318256	0.6931472	2.3978953	0.6931472	3.3672957	4.465908	3.5553480614894135	6.543911845564792	4.4886365	2.3025851	2.3025851	2.3025851	2.3978953	2.3025851	2.3025851	1.5496879	5.791427
3096	4.6151204	0.6931472	5	817.0	0.6931472	47.732086	-122.309784	0.6931472	0.6931472	0.6931472	0.6931472	4.189655	6.4785094	5.3033047	3.9318256	0.6931472	3.713572	0.6931472	7.026427	1.609438	4.948759890378168	5.056245805348308	4.564348	2.3978953	2.3978953	2.3978953	2.3978953	2.3978953	2.3978953	0.5653138	4.2931952
3097	4.6151204	1.0986123	5	1125.0	1.0986123	47.728558	-122.29816	0.6931472	0.6931472	0.6931472	0.6931472	3.7612002	5.7071104	5.3033047	2.7725887	0.6931472	0.0	0.6931472	7.026427	1.3862944	4.59511985013459	4.8283137373023015	4.6151204	2.3978953	2.3978953	2.3978953	2.3978953	2.3978953	2.3978953	0.5423243	4.2904596
3098	4.6151204	1.3862944	4	988.0	1.3862944	47.72323	-122.303734	1.0986123	0.6931472	0.6931472	0.6931472	4.0253515	5.8021183	5.3033047	2.3978953	1.0986123	3.0445225	0.6931472	2.7080503	2.3978953	4.060443010546419	5.176149732573829	4.574711	2.3978953	2.3978953	2.3978953	2.3978953	2.3025851	2.3978953	0.9895412	5.0952215
3100	4.6151204	1.0986123	3	1225.0	1.0986123	47.72521	-122.301926	1.0986123	0.6931472	0.6931472	0.6931472	4.0430512	6.4785094	5.7071104	3.0445225	0.6931472	0.0	1.0986123	4.5108595	2.7725887	4.672828834461906	7.0825485693553	4.454347	2.3025851	2.3025851	2.3978953	2.3978953	2.3025851	2.3025851	0.3220835	3.5055573
3101	4.6151204	1.3862944	4	975.0	1.3862944	47.72654	-122.30425	0.6931472	0.6931472	0.6931472	0.6931472	3.9318256	5.7071104	5.3033047	3.0445225	0.6931472	0.0	0.6931472	7.026427	1.609438	4.867534450455582	5.181783550292085	4.564348	2.3978953	2.3978953	2.3978953	2.3978953	2.3978953	2.3025851	0.51282364	4.168988
3102	4.6151204	0.6931472	6	401.0	0.6931472	47.72156	-122.30767	1.0986123	0.6931472	0.6931472	1.0986123	4.543295	6.4785094	4.6151204	3.0445225	1.0986123	5.7071104	1.609438	7.026427	2.9957323	4.867534450455582	5.958424693029782	4.5325994	2.3025851	2.3978953	2.3978953	2.3978953	2.3025851	2.3978953	0.9042182	4.914418
3103	4.6151204	1.0986123	3	1225.0	1.0986123	47.725883	-122.30106	1.0986123	0.6931472	0.6931472	0.6931472	4.0073333	6.4785094	5.7071104	3.0445225	1.0986123	0.0	1.0986123	4.1108737	2.4849067	4.700480365792417	7.10085190894405	4.3438053	2.1972246	2.0794415	2.3025851	2.3025851	2.1972246	2.0794415	0.2390169	3.0689828
3104	4.6151204	0.6931472	5	1166.0	0.6931472	47.72991	-122.30963	1.9459102	1.0986123	1.3862944	1.3862944	5.484797	6.4785094	6.216606	4.6151204	0.6931472	0.0	1.0986123	7.026427	2.3978953	4.574710978503383	5.278114659230518	4.6151204	2.3978953	2.3978953	2.3978953	2.3978953	2.3025851	2.3978953	0.9282193	5.0369525
